49140.78115;163350.9095;84.23649617;K45;B45;"GWP;A;Q;87;89";S40;B40;"PENRT - Non Renewable;A;Q;82;84";K42;B42;"AP;A;Q;84;86"
Variante;;;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;AP_S;AP_M;AP_R
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016_FB_EPS_Gas_0.05_Solarthermie;;;249265.2636;28070.4216;1196.582747;7079042.943;463389.1261;-194637.2521;659.1351366;12.51293967;-33.30973412
EnEv2016_FB_Holz_Gas_0.1_Solarthermie;;;249265.2636;33593.67728;6605.568267;7808470.283;554567.5435;-775913.2482;659.1351366;14.97503895;-71.95215689
EnEv2016_FB_Holz_Gas_0.05_Solarthermie;;;249265.2636;31645.53673;3417.881723;7551189.603;522407.4586;-532694.1692;659.1351366;14.10661719;-55.45201729
EnEv2016_FB_HFMW_Gas_0.1_Solarthermie;;;249265.2636;33593.67728;8680.835896;7808470.283;554567.5435;-239611.3015;659.1351366;14.97503895;-31.73370396
EnEv2016_FB_HFMW_Gas_0.05_Solarthermie;;;249265.2636;28070.4216;8680.324641;7079042.943;463389.1261;-239618.6838;659.1351366;12.51293967;-31.73687971
EnEv2016_2WSV_EPS_Gas_0.1_Solarthermie;;;274917.087;32556.6425;12280.51325;8256745.318;537448.0772;-396129.1915;817.8400588;14.51276041;-42.61864489
EnEv2016_2WSV_EPS_Gas_0.05_Solarthermie;;;274917.087;30457.90402;12280.51325;7979575.96;502801.9075;-396129.1915;817.8400588;13.57720667;-42.61864489
EnEv2016_2WSV_Holz_Gas_0.1_Solarthermie;;;256717.5783;32556.6425;13918.58899;8284350.305;537448.0772;-645426.0408;823.5476703;14.51276041;-58.94726044
EnEv2016_2WSV_Holz_Gas_0.05_Solarthermie;;;256717.5783;30457.90402;13918.58899;8007180.948;502801.9075;-645426.0408;823.5476703;13.57720667;-58.94726044
EnEv2016_2WSV_HFMW_Gas_0.1_Solarthermie;;;271442.964;32556.6425;20507.01001;8404495.475;537448.0772;-453506.9153;866.12581;14.51276041;-42.09376013
EnEv2016_2WSV_HFMW_Gas_0.05_Solarthermie;;;269980.7124;30457.90402;20506.63002;8110244.926;502801.9075;-453512.4023;859.2477863;13.57720667;-42.0961205
EnEv2016_3WSV_EPS_Gas_0.1_Solarthermie;;;279458.6375;30181.61202;12250.59664;8001880.906;498240.8535;-396536.358;836.5064773;13.4540441;-42.80357404
EnEv2016_3WSV_EPS_Gas_0.05_Solarthermie;;;279458.6375;28070.4216;12250.59664;7723067.087;463389.1261;-396536.358;836.5064773;12.51293967;-42.80357404
EnEv2016_3WSV_Holz_Gas_0.1_Solarthermie;;;3283755.599;30181.61202;13888.67238;8551649.625;498240.8535;-645833.2073;3244448.319;13.4540441;-59.13218958
EnEv2016_3WSV_Holz_Gas_0.05_Solarthermie;;;261259.1288;28070.4216;13888.67238;7750672.074;463389.1261;-645833.2073;842.2140888;12.51293967;-59.13218958
EnEv2016_3WSV_HFMW_Gas_0.1_Solarthermie;;;3298972.259;30181.61202;20477.22106;8677533.579;498240.8535;-453912.2385;3244493.208;13.4540441;-42.27789631
EnEv2016_3WSV_HFMW_Gas_0.05_Solarthermie;;;274522.2629;28070.4216;20476.71341;7853736.052;463389.1261;-453919.5687;877.9142048;12.51293967;-42.28104964
KfW70_3WSV_EPS_Pellets_0.1_Solarthermie;;;292977.7162;1569.598144;17283.41223;4553672.213;18560.68607;-495533.1715;867.3359263;18.29772463;-53.0033814
KfW70_3WSV_EPS_Pellets_0.05_Solarthermie;;;285777.8621;1345.395265;14296.98519;4315945.181;15909.46016;-445669.9065;851.7254139;15.68406038;-48.78463377
KfW70_3WSV_Holz_Pellets_0.1_Solarthermie;;;227001.3782;1569.598144;47574.40567;4899191.926;18560.68607;-1928223.942;928.9536349;18.29772463;-136.1625623
KfW70_3WSV_Holz_Pellets_0.05_Solarthermie;;;246262.4763;1345.395265;42242.45897;4633695.021;15909.46016;-1521398.757;905.9342738;15.68406038;-108.5632787
KfW70_3WSV_HFMW_Pellets_0.1_Solarthermie;;;281320.7082;1569.598144;44036.98507;4612379.578;18560.68607;-982350.7388;951.4787508;18.29772463;-67.89980313
