Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016;FB;Holz;Pellets;0.1;EnEv2016_FB_Holz_Pellets_0.1_Solarthermie;884704.21;50157.56;-780465.13;-479.28;4241.61;5981.86;179.80;49.45;-74.16;0.000191847;1.415E-07;-0.000827176
EnEv2016;FB;Holz;Pellets;0.05;EnEv2016_FB_Holz_Pellets_0.05_Solarthermie;738658.67;47248.86;-537246.05;11035.85;3995.63;2794.17;166.04;46.58;-57.66;0.000191786;1.33294E-07;-0.000826081
EnEv2016;FB;HF MW;Pellets;0.1;EnEv2016_FB_HFMW_Pellets_0.1_Solarthermie;813520.84;50157.56;-244163.19;31873.98;4241.61;8057.12;209.11;49.45;-33.94;0.000634904;1.415E-07;-0.000868462
EnEv2016;FB;HF MW;Pellets;0.05;EnEv2016_FB_HFMW_Pellets_0.05_Solarthermie;790538.70;47248.86;-244170.57;29906.57;3995.63;8056.61;199.86;46.58;-33.95;0.000634858;1.33294E-07;-0.000868462
EnEv2016;2WSV;EPS;Pellets;0.1;EnEv2016_2WSV_EPS_Pellets_0.1_Solarthermie;1244396.64;48609.20;-400681.08;54155.14;4110.67;11656.80;258.69;47.92;-44.83;0.001720801;1.37132E-07;-5745.516729
EnEv2016;2WSV;EPS;Pellets;0.05;EnEv2016_2WSV_EPS_Pellets_0.05_Solarthermie;1087760.86;50465.55;-367525.89;43146.60;4267.66;13225.10;192.01;49.75;-35.10;0.001719444;1.42369E-07;-5745.516728
EnEv2016;2WSV;Holz;Pellets;0.1;EnEv2016_2WSV_Holz_Pellets_0.1_Solarthermie;1272001.63;48609.20;-649977.92;35955.63;4110.67;13294.88;264.39;47.92;-61.16;0.001712166;1.37132E-07;-5745.516729
EnEv2016;2WSV;Holz;Pellets;0.05;EnEv2016_2WSV_Holz_Pellets_0.05_Solarthermie;1272001.63;45475.65;-649977.92;35955.63;3845.68;13294.88;264.39;44.83;-61.16;0.001712166;1.28292E-07;-5745.516729
EnEv2016;2WSV;HF MW;Pellets;0.1;EnEv2016_2WSV_HFMW_Pellets_0.1_Solarthermie;1367335.82;48609.20;-458066.77;48557.05;4110.67;19882.75;296.98;47.92;-44.31;0.002155229;1.37132E-07;-5745.516772
EnEv2016;2WSV;HF MW;Pellets;0.05;EnEv2016_2WSV_HFMW_Pellets_0.05_Solarthermie;1367335.82;45475.65;-458066.77;48557.05;3845.68;19882.75;296.98;44.83;-44.31;0.002155229;1.28292E-07;-5745.516772
EnEv2016;3WSV;EPS;Pellets;0.1;EnEv2016_3WSV_EPS_Pellets_0.1_Solarthermie;1303190.02;45063.12;-401088.24;58696.69;3810.80;11626.89;277.35;44.42;-45.01;0.001720882;1.27128E-07;-5745.516729
EnEv2016;3WSV;EPS;Pellets;0.05;EnEv2016_3WSV_EPS_Pellets_0.05_Solarthermie;1303190.02;41910.98;-401088.24;58696.69;3544.23;11626.89;277.35;41.32;-45.01;0.001720882;1.18235E-07;-5745.516729
EnEv2016;3WSV;Holz;Pellets;0.1;EnEv2016_3WSV_Holz_Pellets_0.1_Solarthermie;1330795.01;45063.12;-650385.09;40497.18;3810.80;13264.96;283.06;44.42;-61.34;0.001712247;1.27128E-07;-5745.516729
