Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
KfW 55;3WSV;EPS;Gas;0,1;KfW55_3WSV_EPS_Gas_0.1;1713304,34;6328695,16;-581453,57;65665,57;383369,25;19475,42;226,66;211,01;-41,06;0,001785003;3,36492E-07;-5745,51673
KfW 55;3WSV;EPS;Gas;0,05;KfW55_3WSV_EPS_Gas_0.05;1492800,08;6328695,16;-452812,93;58569,79;383369,25;19175,17;233,32;170,89;-40,64;0,001745495;2,7252E-07;-5745,51673
KfW 55;3WSV;Holz;Gas;0,1;KfW55_3WSV_Holz_Gas_0.1;2386264,79;6328695,16;-2762234,41;-47860,43;383369,25;61191,35;346,01;170,89;-183,36;6,419266559;2,7252E-07;-8361,832926
KfW 55;3WSV;Holz;Gas;0,05;KfW55_3WSV_Holz_Gas_0.05;1838264,83;6328695,16;-1849615,35;-4652,74;383369,25;49230,35;294,37;170,89;-121,45;6,419266328;2,7252E-07;-8361,832922
KfW 55;3WSV;HF MW;Gas;0,1;KfW55_3WSV_HFMW_Gas_0.1;1813138,67;6328695,16;-1001084,31;62386,96;383369,25;46139,21;418,44;170,89;-58,90;6,419858477;2,7252E-07;-8361,832973
KfW 55;3WSV;HF MW;Gas;0,05;KfW55_3WSV_HFMW_Gas_0.05;1572147,98;6328695,16;-944644,91;47399,24;383369,25;46228,91;317,65;170,89;-55,96;6,419743141;2,7252E-07;-8361,832964
EnEV'16 Aufstockung;3WSV;EPS;Gas;0,1;EnEV'16 As 3WSV_EPS_Gas_0.1;2042530,00;22314647,29;-515494,65;92946,45;1351739,87;20432,78;453,54;602,56;-45,81;8,20;0,00;-7779,95
KfW70 Aufstockung;3WSV;EPS;Gas;0,1;KfW 70 As 3WSV_EPS_Gas_0.1;2274064,48;10393013,16;-591528,88;100557,67;629570,80;24986,65;404,26;280,64;-42,51;8,20;0,00;-7779,95
KfW 55 Aufstockung;3WSV;EPS;Gas;0,1;KfW 55 As 3WSV_EPS_Gas_0.1;2655478,90;8417164,56;-733567,05;113095,88;509881,10;26089,31;408,47;280,64;-44,07;8,20;0,00;-7779,95
EnEV'16 Aufstockung;3WSV;HF Holz;Gas;0,1;EnEV'16 As 3WSV_HF Holz_Gas_0.1;2177333,37;22314647,29;-1410852,84;23345,08;1351739,87;28329,37;453,54;602,56;-45,81;8,20;0,00;-7779,95
